[
Event{id=1, arriveTime=8:17:0, shaveTime=0:27:0, startShave=8:17:0, leaveTime=8:44:0, stayTime=0:27:0},
Event{id=2, arriveTime=8:34:0, shaveTime=0:53:0, startShave=8:34:0, leaveTime=9:27:0, stayTime=0:53:0},
Event{id=3, arriveTime=8:53:0, shaveTime=0:52:0, startShave=8:53:0, leaveTime=9:45:0, stayTime=0:52:0},
Event{id=4, arriveTime=9:21:0, shaveTime=0:32:0, startShave=9:28:0, leaveTime=10:0:0, stayTime=0:39:0},
Event{id=5, arriveTime=9:42:0, shaveTime=0:37:0, startShave=9:46:0, leaveTime=10:23:0, stayTime=0:41:0},
Event{id=6, arriveTime=9:53:0, shaveTime=0:46:0, startShave=10:1:0, leaveTime=10:47:0, stayTime=0:54:0},
Event{id=7, arriveTime=10:18:0, shaveTime=0:29:0, startShave=10:24:0, leaveTime=10:53:0, stayTime=0:35:0},
Event{id=8, arriveTime=10:33:0, shaveTime=0:43:0, startShave=10:48:0, leaveTime=11:31:0, stayTime=0:58:0},
Event{id=9, arriveTime=10:53:0, shaveTime=0:39:0, startShave=10:54:0, leaveTime=11:33:0, stayTime=0:40:0},
Event{id=10, arriveTime=11:22:0, shaveTime=0:50:0, startShave=11:32:0, leaveTime=12:22:0, stayTime=1:0:0},
Event{id=11, arriveTime=11:49:0, shaveTime=0:33:0, startShave=11:49:0, leaveTime=12:22:0, stayTime=0:33:0},
Event{id=13, arriveTime=12:29:0, shaveTime=0:30:0, startShave=12:29:0, leaveTime=12:59:0, stayTime=0:30:0},
Event{id=12, arriveTime=12:7:0, shaveTime=0:46:0, startShave=12:23:0, leaveTime=13:9:0, stayTime=1:2:0},
Event{id=15, arriveTime=12:59:0, shaveTime=0:24:0, startShave=13:10:0, leaveTime=13:34:0, stayTime=0:35:0},
Event{id=14, arriveTime=12:42:0, shaveTime=0:53:0, startShave=13:0:0, leaveTime=13:53:0, stayTime=1:11:0},
Event{id=17, arriveTime=13:49:0, shaveTime=0:29:0, startShave=13:54:0, leaveTime=14:23:0, stayTime=0:34:0},
Event{id=16, arriveTime=13:22:0, shaveTime=0:50:0, startShave=13:35:0, leaveTime=14:25:0, stayTime=1:3:0},
Event{id=18, arriveTime=14:17:0, shaveTime=0:29:0, startShave=14:24:0, leaveTime=14:53:0, stayTime=0:36:0},
Event{id=19, arriveTime=14:32:0, shaveTime=0:37:0, startShave=14:32:0, leaveTime=15:9:0, stayTime=0:37:0},
Event{id=20, arriveTime=14:55:0, shaveTime=0:57:0, startShave=14:55:0, leaveTime=15:52:0, stayTime=0:57:0},
Event{id=21, arriveTime=15:11:0, shaveTime=0:46:0, startShave=15:11:0, leaveTime=15:57:0, stayTime=0:46:0},
Event{id=22, arriveTime=15:23:0, shaveTime=0:58:0, startShave=15:53:0, leaveTime=16:51:0, stayTime=1:28:0},
Event{id=23, arriveTime=15:33:0, shaveTime=0:59:0, startShave=15:58:0, leaveTime=16:57:0, stayTime=1:24:0},
Event{id=24, arriveTime=15:52:0, shaveTime=0:58:0, startShave=16:52:0, leaveTime=17:50:0, stayTime=1:58:0},
Event{id=25, arriveTime=16:11:0, shaveTime=0:56:0, startShave=16:58:0, leaveTime=17:54:0, stayTime=1:43:0},
Event{id=26, arriveTime=16:37:0, shaveTime=0:30:0, startShave=17:51:0, leaveTime=18:21:0, stayTime=1:44:0},
Event{id=27, arriveTime=16:58:0, shaveTime=0:42:0, startShave=17:55:0, leaveTime=18:37:0, stayTime=1:39:0},
Event{id=28, arriveTime=17:14:0, shaveTime=0:33:0, startShave=18:22:0, leaveTime=18:55:0, stayTime=1:41:0},
Event{id=29, arriveTime=17:39:0, shaveTime=0:23:0, startShave=18:38:0, leaveTime=19:1:0, stayTime=1:22:0},
Event{id=30, arriveTime=18:0:0, shaveTime=0:37:0, startShave=18:56:0, leaveTime=19:33:0, stayTime=1:33:0},
Event{id=31, arriveTime=18:28:0, shaveTime=0:42:0, startShave=19:2:0, leaveTime=19:44:0, stayTime=1:16:0},
Event{id=32, arriveTime=18:38:0, shaveTime=0:49:0, startShave=19:34:0, leaveTime=20:23:0, stayTime=1:45:0},
Event{id=33, arriveTime=19:5:0, shaveTime=0:40:0, startShave=19:45:0, leaveTime=20:25:0, stayTime=1:20:0},
Event{id=35, arriveTime=19:42:0, shaveTime=0:52:0, startShave=20:26:0, leaveTime=21:18:0, stayTime=1:36:0},
Event{id=34, arriveTime=19:22:0, shaveTime=0:59:0, startShave=20:24:0, leaveTime=21:23:0, stayTime=2:1:0},
Event{id=36, arriveTime=19:56:0, shaveTime=0:59:0, startShave=21:19:0, leaveTime=22:18:0, stayTime=2:22:0}
]
